cust_id,state,area_code,phone_number,intl_plan,voice_mail_plan
0,KS, 415, 382-4657, no, yes
1,OH, 415, 371-7191, no, yes
2,NJ, 415, 358-1921, no, no
3,OH, 408, 375-9999, yes, no
4,OK, 415, 330-6626, yes, no
5,AL, 510, 391-8027, yes, no
6,MA, 510, 355-9993, no, yes
7,MO, 415, 329-9001, yes, no
8,LA, 408, 335-4719, no, no
9,WV, 415, 330-8173, yes, yes
10,IN, 415, 329-6603, no, no
11,RI, 415, 344-9403, no, no
12,IA, 408, 363-1107, no, no
13,MT, 510, 394-8006, no, no
14,IA, 415, 366-9238, no, no
15,NY, 415, 351-7269, no, no
16,ID, 408, 350-8884, no, yes
17,VT, 510, 386-2923, no, no
18,VA, 510, 356-2992, no, yes
19,TX, 415, 373-2782, no, no
20,FL, 415, 396-5800, no, no
21,CO, 408, 393-7984, no, no
22,AZ, 415, 358-1958, no, no
23,SC, 415, 350-2565, no, no
24,VA, 510, 343-4696, no, no
25,NE, 415, 331-3698, no, no
26,WY, 408, 357-3817, no, yes
27,MT, 408, 418-6412, no, no
28,MO, 415, 353-2630, no, no
29,HI, 510, 410-7789, no, no
30,IL, 415, 416-8428, no, no
31,NH, 510, 370-3359, no, no
32,LA, 408, 383-1121, no, no
33,AZ, 408, 360-1596, no, no
34,OK, 408, 395-2854, no, yes
35,GA, 415, 362-1407, no, yes
36,AK, 408, 341-9764, no, yes
37,MA, 415, 353-3305, no, no
38,AK, 415, 402-1381, yes, yes
39,NJ, 408, 332-9891, no, no
40,GA, 408, 372-9976, no, no
41,MD, 408, 383-6029, yes, yes
42,AR, 510, 353-7289, no, no
43,ID, 415, 390-7274, no, no
44,WI, 510, 352-1237, no, no
45,OR, 408, 353-3061, no, yes
46,MI, 415, 363-5450, no, no
47,DE, 408, 364-1995, no, no
48,ID, 415, 398-1294, no, no
49,WY, 415, 405-7146, no, yes
50,IA, 408, 413-4957, no, no
51,IN, 408, 420-5645, no, no
52,VA, 408, 349-4396, no, no
53,UT, 415, 404-3211, no, no
54,WY, 415, 353-3759, no, no
55,IN, 408, 363-5947, no, no
56,CO, 415, 340-5121, no, no
57,CO, 408, 370-7574, no, yes
58,WI, 415, 403-9733, no, no
59,OK, 408, 355-7251, no, no
60,ID, 408, 359-5893, no, no
61,CA, 415, 405-3371, no, yes
62,MN, 510, 344-5117, no, yes
63,SD, 408, 332-8160, no, yes
64,NC, 408, 359-4081, no, no
65,WA, 415, 352-8305, no, yes
66,WY, 415, 329-9847, yes, no
67,MN, 408, 365-9011, yes, no
68,UT, 408, 338-9472, no, no
69,TX, 510, 374-8042, no, no
70,NJ, 408, 359-1231, no, no
71,MN, 510, 413-7170, no, yes
72,NM, 510, 415-2935, no, no
73,NV, 415, 399-4246, no, no
74,HI, 415, 362-5889, no, no
75,MN, 415, 350-8921, no, no
76,DC, 415, 374-5353, no, no
77,NY, 408, 360-1171, no, no
78,MN, 415, 355-8887, no, no
79,MD, 408, 333-1967, no, no
80,WV, 415, 354-4577, no, no
81,OR, 415, 331-7425, yes, no
82,CO, 408, 419-2637, no, yes
83,GA, 415, 411-1530, no, yes
84,TX, 510, 395-3026, no, no
85,VT, 510, 388-6441, no, yes
86,IN, 408, 402-1251, no, no
87,WV, 510, 412-9997, no, no
88,KY, 415, 346-7302, no, yes
89,NJ, 415, 358-9095, no, no
90,DC, 510, 400-9770, no, no
91,LA, 415, 334-1275, no, no
92,AR, 415, 340-4953, no, no
93,ME, 415, 400-9510, no, no
94,AZ, 415, 387-6103, no, no
95,AK, 408, 366-4467, no, no
96,MT, 415, 370-3450, no, no
97,AZ, 415, 327-3954, no, no
98,MS, 408, 355-6291, no, no
99,ID, 415, 362-9748, no, no
100,IA, 510, 379-6506, no, yes
101,MA, 415, 347-7741, no, no
102,VT, 415, 354-3783, no, no
103,KY, 408, 401-7594, no, no
104,IN, 408, 397-4976, no, no
105,AZ, 408, 334-2577, no, no
106,MI, 510, 400-3637, no, yes
107,NM, 510, 383-4361, no, yes
108,CO, 415, 371-4306, no, yes
109,UT, 408, 403-4298, no, no
110,MI, 408, 409-3786, no, no
111,MA, 415, 337-4697, no, no
112,AL, 408, 383-1509, no, no
113,DE, 408, 359-9794, no, no
114,AZ, 415, 407-7035, no, no
115,ME, 510, 363-1069, yes, yes
116,NJ, 510, 391-4652, no, no
117,NV, 415, 355-6837, no, no
118,MO, 510, 409-1244, no, yes
119,ID, 408, 328-3266, no, no
120,NE, 408, 352-7072, no, no
121,TX, 408, 370-7550, no, yes
122,MD, 510, 369-5526, no, no
123,MS, 415, 329-4391, no, no
124,NV, 510, 408-4195, no, no
125,AZ, 408, 354-4445, no, no
126,MS, 415, 335-4858, no, no
127,MS, 510, 414-8718, no, yes
128,TX, 408, 409-5939, no, no
129,NE, 408, 331-4902, no, yes
130,NE, 415, 353-6870, no, no
131,CA, 408, 355-2909, no, no
132,NJ, 415, 390-6101, no, no
133,TX, 408, 400-3446, no, no
134,AR, 408, 411-5859, no, no
135,AL, 510, 387-2919, yes, no
136,NY, 415, 374-8525, no, yes
137,FL, 510, 379-5592, no, no
138,AK, 510, 345-8237, no, yes
139,NV, 415, 422-6690, no, yes
140,DE, 510, 346-2359, no, no
141,MD, 415, 374-3534, no, yes
142,MI, 415, 381-4756, no, yes
143,VT, 510, 390-2805, no, no
144,VT, 408, 390-2390, yes, no
145,MI, 415, 419-9097, no, no
146,WA, 408, 386-7281, no, no
147,UT, 408, 380-3561, yes, no
148,LA, 408, 390-8760, no, no
149,RI, 408, 366-6730, no, yes
150,IA, 408, 395-5285, no, no
151,NE, 415, 354-3436, no, no
152,OH, 408, 336-7600, no, no
153,RI, 415, 383-6293, no, no
154,OK, 415, 362-4596, no, no
155,LA, 408, 401-3926, no, no
156,OH, 415, 370-9116, no, no
157,VA, 510, 328-6289, no, yes
158,MO, 510, 350-9994, no, no
159,FL, 510, 351-4616, no, yes
160,SC, 415, 360-5779, no, no
161,VA, 415, 417-4885, no, no
162,IA, 510, 406-4710, no, yes
163,MI, 415, 409-8743, no, no
164,OK, 415, 335-4584, no, no
165,DE, 415, 361-9845, no, yes
166,GA, 510, 366-5699, no, yes
167,DC, 415, 329-9364, no, no
168,AZ, 408, 390-7434, no, yes
169,AL, 510, 404-9680, no, no
170,CO, 408, 338-9398, no, no
171,NH, 408, 394-2445, no, yes
172,NM, 415, 381-2709, no, no
173,OR, 415, 397-5060, no, no
174,LA, 408, 415-2393, no, no
175,NE, 415, 377-1765, no, no
176,MN, 415, 409-2111, no, no
177,MI, 415, 401-3170, no, no
178,AR, 408, 405-5681, no, no
179,KS, 408, 411-4582, no, no
180,WV, 510, 355-5009, yes, yes
181,AK, 415, 372-3750, no, no
